epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,62.0105,1.34511,1.21446,2.25365,0.0669,0.88951,0.83625,0.90463,0.70139,0.78538,0.63761,1.47969,0.02723,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021,0.00996063,0.00332021
2,120.819,0.92856,0.70132,1.54988,0.04042,0.91814,0.86634,0.92798,0.76158,0.64667,0.53225,1.27561,0.01785,0.0198618,0.00662061,0.0198618,0.00662061,0.0198618,0.00662061,0.0198618,0.00662061
3,166.334,0.86156,0.63797,1.42139,0.03784,0.90643,0.86197,0.92632,0.7552,0.64669,0.58104,1.26558,0.02468,0.029664,0.00988801,0.029664,0.00988801,0.029664,0.00988801,0.029664,0.00988801
4,211.734,0.84097,0.61964,1.37069,0.03918,0.90859,0.86658,0.93265,0.77518,0.60108,0.53302,1.23265,0.02064,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,257.173,0.8088,0.59162,1.33115,0.0358,0.92401,0.86371,0.93142,0.78556,0.57775,0.47564,1.20272,0.01442,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,302.656,0.78305,0.57042,1.31093,0.03292,0.92548,0.87496,0.93557,0.79564,0.562,0.4753,1.18544,0.01596,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,348.214,0.76579,0.55559,1.29398,0.03144,0.92696,0.89314,0.94248,0.80726,0.53933,0.44083,1.14655,0.01391,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,393.69,0.74428,0.53631,1.27542,0.03024,0.9273,0.885,0.94241,0.80786,0.54288,0.44503,1.14931,0.01357,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,439.174,0.73908,0.53048,1.26685,0.02918,0.93635,0.88074,0.9468,0.81184,0.54039,0.42773,1.15486,0.01332,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,484.785,0.71998,0.51601,1.24925,0.02697,0.93395,0.89176,0.94618,0.81647,0.52421,0.42658,1.12721,0.01273,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,530.4,0.71782,0.51413,1.24916,0.02719,0.93347,0.89552,0.94744,0.82151,0.51048,0.40917,1.12565,0.01191,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,576.029,0.70962,0.50625,1.24144,0.02704,0.93597,0.89472,0.94972,0.82631,0.50766,0.39993,1.11571,0.01202,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,621.601,0.70105,0.49916,1.2337,0.02612,0.93401,0.89578,0.94837,0.82236,0.51066,0.40477,1.11742,0.01204,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,667.1,0.6971,0.49701,1.23032,0.02551,0.95004,0.88796,0.94989,0.82808,0.5058,0.39227,1.10834,0.01167,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,712.789,0.68742,0.48751,1.22116,0.02522,0.9334,0.89438,0.9494,0.82797,0.49246,0.39304,1.10682,0.01073,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,758.454,0.68209,0.48264,1.21626,0.02445,0.94587,0.89209,0.95254,0.83381,0.48839,0.37634,1.10215,0.01045,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,804.147,0.68213,0.48113,1.21569,0.02434,0.94168,0.89674,0.95034,0.83246,0.48972,0.38864,1.09178,0.01035,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,849.808,0.67581,0.47702,1.21149,0.02401,0.94866,0.89713,0.9532,0.83656,0.48795,0.36689,1.08652,0.01136,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,895.464,0.6699,0.47178,1.20558,0.0234,0.93944,0.89877,0.95328,0.83891,0.48743,0.37165,1.09497,0.01187,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
