epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1685.78,0.68797,1.26022,0.57449,1.06562,0,0.90854,0.85889,0.93363,0.78954,0.90983,0.8601,0.93345,0.77499,0.61019,1.09328,0.7289,1.07035,0,0.000666512,0.000666512,0.000666512
2,3307.46,0.72543,1.32228,0.63002,1.09199,0,0.89775,0.85926,0.92807,0.78663,0.9014,0.86023,0.92776,0.76408,0.60676,1.02801,0.96182,1.07005,0,0.00128918,0.00128918,0.00128918
3,4922.9,0.72118,1.30156,0.62867,1.08926,0,0.9103,0.8521,0.93328,0.79441,0.90978,0.85209,0.93205,0.77833,0.59765,1.04579,0.72931,1.05346,0,0.00186786,0.00186786,0.00186786
4,6535.31,0.70686,1.24973,0.6001,1.07541,0,0.92035,0.87211,0.9413,0.80294,0.91983,0.87352,0.9408,0.78649,0.58065,0.97275,0.6618,1.0533,0,0.001802,0.001802,0.001802
5,8147.43,0.68591,1.21242,0.57936,1.06357,0,0.9251,0.87623,0.94377,0.81286,0.92767,0.87539,0.94354,0.79377,0.54638,0.86826,0.57167,1.02066,0,0.001736,0.001736,0.001736
6,9760.32,0.66851,1.16738,0.54806,1.05106,0,0.93793,0.87659,0.95443,0.82622,0.93889,0.87829,0.95413,0.80556,0.53303,0.83596,0.52774,1.01014,0,0.00167,0.00167,0.00167
7,11372.4,0.65392,1.1281,0.52895,1.0376,0,0.92992,0.8864,0.95244,0.82768,0.93095,0.8892,0.95231,0.80732,0.52384,0.85584,0.50717,1.00109,0,0.001604,0.001604,0.001604
8,12985,0.64608,1.10125,0.51586,1.03093,0,0.94226,0.88011,0.95706,0.83151,0.93921,0.88402,0.95637,0.81368,0.51971,0.83018,0.46127,0.99196,0,0.001538,0.001538,0.001538
9,14594.8,0.63603,1.08364,0.50493,1.02424,0,0.94286,0.88302,0.95956,0.83749,0.94133,0.88835,0.95805,0.81776,0.49223,0.77513,0.47938,0.97157,0,0.001472,0.001472,0.001472
10,16203.1,0.61988,1.04338,0.48154,1.01371,0,0.93818,0.89037,0.95936,0.84067,0.93701,0.8949,0.95902,0.81797,0.49024,0.76912,0.44856,0.9675,0,0.001406,0.001406,0.001406
